26.6,21.67,100.695,6.32
23.2,22.73,100.782,6.19
26.6,26.3,100.874,6.34
30.6,29.94,100.9,6.75
32.1,33.06,100.9,6.64
33.9,35.06,100.812,6.18
34.8,35.99,100.68,5.5
33.6,37.06,100.52,4.7
30.7,37.12,100.38,3.9
33.3,35.78,100.289,3.68
41.6,33.83,100.279,3.89
51.9,31,100.357,4.61
61.5,28.09,100.437,5.52
65.5,27.13,100.53,6.26
63.5,26.64,100.655,6.62
61.3,26.07,100.684,6.64
58.6,25.5,100.719,6.54
55,25.09,100.698,6.39
51.2,24.68,100.666,6.29
46.7,24.35,100.615,6.17
41.8,24.06,100.552,6.03
32.6,23.74,100.481,5.58
21.9,23.43,100.453,5.25
12.7,23.17,100.477,5.06
2.6,21.81,100.459,5.89
0.7,22.95,100.549,5.75
5,26.85,100.644,5.85
14,30.46,100.655,6.12
21,33.55,100.635,5.93
26.4,36.03,100.51,5.49
30.6,37.67,100.361,5.02
33.7,38.49,100.202,4.55
36.9,38.43,100.072,4.12
39,37.24,100.028,3.97
43.5,35.11,100.027,3.94
51.2,31.57,100.075,4.08
62.8,28.61,100.151,4.51
71.9,27.53,100.239,5.14
73.2,27.46,100.385,5.48
74.2,26.32,100.453,5.57
73.5,25.5,100.433,5.66
71,24.99,100.423,5.59
67.8,24.29,100.421,5.42
64,23.76,100.363,5.19
59.8,23.33,100.291,4.94
51.7,22.89,100.272,4.59
41.8,22.47,100.275,4.29
31,22.08,100.294,4.15
11.2,23.69,100.315,6.27
5.5,24.35,100.383,6.06
7.6,27.02,100.474,6.05
19.3,30.24,100.525,6.48
28.3,32.71,100.536,6.61
35.1,34.13,100.478,6.49
41.7,35.22,100.395,6.37
48.2,33.64,100.276,6.25
54.2,32.51,100.204,6.31
60.3,31.1,100.169,6.59
64.9,29.37,100.198,6.97
66.7,27.39,100.252,7.18
66,25.56,100.333,7.08
63.4,24.92,100.418,7.34
60.7,24.53,100.527,7.6
57.9,24.27,100.545,7.62
54.9,24,100.527,7.44
51.9,23.81,100.542,7.16
48.8,23.6,100.504,6.85
45.7,23.41,100.449,6.6
42.5,23.25,100.384,6.45
40.4,23.09,100.382,6.12
39.1,23,100.391,5.81
38.3,22.93,100.397,5.63
42.2,22.87,100.461,5.86
42.8,23.63,100.54,5.84
45.5,25.41,100.63,6.1
50.1,26.93,100.685,7.09
53.3,28.53,100.712,7.8
56,30.06,100.699,8.09
58.6,30.89,100.606,8.06
61.7,31.01,100.476,8
64.9,30.88,100.369,7.92
66.7,30.15,100.323,7.84
67.7,28.62,100.295,7.8
67.5,26.83,100.316,7.6
65.6,25.2,100.382,7.17
64.4,24.75,100.466,7.07
63.3,24.53,100.564,7.1
61.9,24.3,100.609,6.98
59.4,24.03,100.629,6.75
55.7,23.76,100.637,6.45
50.9,23.53,100.599,6.16
45.7,23.25,100.568,5.98
40.8,22.98,100.482,5.91
35.7,22.78,100.452,5.85
31.1,22.56,100.455,5.82
27.8,22.46,100.484,5.75
45.4,21.05,100.504,4.49
41.1,22.95,100.602,4.29
44.9,26.9,100.678,4.35
